,name,rating,reviews,type,hq,old,employees
3130,Xanadu,3.6,234,Startup,Mumbai +12 more,9 years old,501-1k Employees
3131,TowerVision India,4.1,234,18 years old,,Chennai +29 more,501-1k Employees
3132,Watertec India,4.2,234,27 years old,,Coimbatore +51 more,1k-5k Employees
3133,Shree Baidyanath Ayurved Bhawan,3.7,234,107 years old,,Allahabad/Prayagraj +31 more,501-1k Employees
3134,ABI Showatech,4.0,234,33 years old,,Chennai +9 more,1k-5k Employees
3135,Cordova Publication,3.4,234,15 years old,,Delhi/NCR +48 more,1k-5k Employees
3136,HungerBox,4.0,234,Startup,Bangalore +14 more,8 years old,501-1k Employees
3137,YKK,3.6,234,29 years old,,Gurgaon/Gurugram +14 more,201-500 Employees
3138,Onida,3.8,234,43 years old,,Mumbai +50 more,1k-5k Employees
3139,e-Zest,4.0,234,Public,Pune +2 more,24 years old,1k-5k Employees
3140,Jubilant Biosys,3.8,234,24 years old,,Noida +9 more,1k-5k Employees
3141,Mahindra Lifespace Developers,4.1,234,Public,Mumbai +20 more,30 years old,201-500 Employees
3142,MMC Infotech Services,3.4,234,34 years old,,Chennai +6 more,201-500 Employees
3143,Bombay Intelligence Security,3.8,234,48 years old,,Mumbai +50 more,51-200 Employees
3144,Eastman Auto and Power Limited,3.8,234,18 years old,,Gurgaon/Gurugram +29 more,1k-5k Employees
3145,Arjas Steel,4.2,234,31 years old,,Bengaluru +10 more,501-1k Employees
3146,HiyaMee Private Limited,3.2,234,8 years old,,Bengaluru +9 more,501-1k Employees
3147,Sureti Insurance Marketing,4.3,234,Coimbatore +3 more,,,51-200 Employees
3148,Sub-K IMPACT Solutions,4.1,234,14 years old,, Hyderabad +79 more,1k-5k Employees
3149,Mahle Anand Thermal Systems,4.3,234,Pune +9 more,,,1k-5k Employees
3150,Sabre,3.9,234,64 years old,,Southlake +10 more,1k-5k Employees
3151,Nidec Corporation,3.8,234,Forbes Global 2000,Kyoto +20 more,51 years old,501-1k Employees
3152,El Seif Engineering Contracting,4.5,233,49 years old,,Riyadh +14 more,51-200 Employees
3153,VGN Projects Estates,4.2,233,82 years old,,Chennai +6 more,1k-5k Employees
3154,Cygnet Infotech,3.7,233,24 years old,,Ahmedabad +9 more,1k-5k Employees
3155,ACG Worldwide,4.0,233,63 years old,,Mumbai +12 more,1k-5k Employees
3156,Millennium Engineers & Contractors,3.9,233,25 years old,,Pune +11 more,11-50 Employees
3157,Signode,4.1,233,Glenview +31 more,,,111 years old
3158,Shriram Chits,4.0,233,50 years old,,Mumbai +81 more,1k-5k Employees
3159,Mkc Infrastructure,3.5,233,61 years old,,Anjar +27 more,Public
3160,NACL Industries,4.2,233,31 years old,,Hyderabad/Secunderabad +46 more,1k-5k Employees
3161,DSV - Global Transport and Logistics,4.0,233,48 years old,,Hedehusene +25 more,501-1k Employees
3162,LANXESS India Private Limited,4.1,233,20 years old,,Cologne +17 more,501-1k Employees
3163,Azure Power,3.9,233,16 years old,,Delhi +16 more,501-1k Employees
3164,Danfoss Power Solutions,4.0,232,Nordborg +7 more,,,51-200 Employees
3165,Zebronics,3.7,232,27 years old,,Chennai +38 more,1k-5k Employees
3166,Eastman Chemical Company,4.3,232,Forbes Global 2000,Mumbai +3 more,74 years old,501-1k Employees
3167,Aliens Group,3.4,232,20 years old,,Hyderabad/Secunderabad +4 more,501-1k Employees
3168,Treebo Hotels,3.6,232,Startup,Bangalore +31 more,9 years old,51-200 Employees
3169,SBL,3.3,232,19 years old,,Bengaluru/Bangalore +23 more,1k-5k Employees
3170,Cactus Communications,3.7,232,22 years old,,Mumbai +10 more,1k-5k Employees
3171,Hofincons Infotech & Industrial Services,3.7,232,Chennai +37 more,,,501-1k Employees
3172,Baramati Agro,3.9,232,Public,Pune +30 more,36 years old,1k-5k Employees
3173,MIOT INTERNATIONAL,3.8,232,25 years old,,Chennai +7 more,501-1k Employees
3174,TÜV Rheinland,4.0,232,152 years old,,Cologne +42 more,501-1k Employees
3175,Tega Industries,3.7,232,Public,Kolkata +15 more,48 years old,501-1k Employees
3176,Alkyl Amines,4.2,232,Public,Mumbai +12 more,45 years old,501-1k Employees
3177,Sagar Cements,4.2,232,Public,Hyderabad/Secunderabad +34 more,39 years old,1k-5k Employees
3178,VFISLK,4.0,232,,,,Bengaluru/Bangalore +7 more
3179,NVH India Auto Parts,3.6,232,40 years old,,Buk-gu +10 more,201-500 Employees
3180,Sarvodaya Hospital,3.9,232,33 years old,,Faridabad +15 more,51-200 Employees
3181,Mitra SK,3.9,231,86 years old,,Kolkata +39 more,1k-5k Employees
3182,Ordnance Factory,4.5,231,249 years old,,Kolkata +31 more,50k-1 Lakh Employees (Global)
3183,Huntsman International,4.3,231,Forbes Global 2000,Texas +23 more,54 years old,501-1k Employees
3184,Vision India Services,3.3,231,16 years old,,New Delhi +65 more,51-200 Employees
3185,Moody's Analytics,3.7,231,17 years old,,New York +5 more,501-1k Employees
3186,Metrochem Api,3.4,231,20 years old,,Hyderabad/Secunderabad +7 more,201-500 Employees
3187,CESC,3.7,231,Public,Kolkata +15 more,125 years old,5k-10k Employees
3188,SPRINKLR,3.3,231,15 years old,,New York City +7 more,1k-5k Employees
3189,ISS SDB Security Services,4.4,231,14 years old,,Mumbai +46 more,1k-5k Employees
3190,Western Digital,3.5,231,Forbes Global 2000,San Jose +8 more,54 years old,1k-5k Employees
3191,MRF Vapocure Paints,3.9,231,35 years old,,Chennai +62 more,51-200 Employees
3192,Realme,3.6,231,Gurgaon/Gurugram +63 more,,,1k-5k Employees
3193,Common Service Centres,4.3,231,15 years old,,New Delhi +101 more,1k-5k Employees
3194,Inventia Healthcare,4.0,231,39 years old,,Mumbai +8 more,501-1k Employees
3195,Akbar Travels,4.3,231,46 years old,,Mumbai +33 more,1k-5k Employees
3196,Hindustan Syringes & Medical Devices,4.1,230,67 years old,,Faridabad +12 more,51-200 Employees
3197,DigiCall Teleservices,3.9,230,29 years old,,Johannesburg +13 more,501-1k Employees
3198,Radiant Cash Management Services,3.4,230,19 years old,,Chennai +48 more,5k-10k Employees
3199,Indus Net Technologies,3.7,230,27 years old,,Kolkata +5 more,501-1k Employees
3200,Molecular Connections,3.6,230,23 years old,,Bangalore/Bengaluru +8 more,1k-5k Employees
3201,DigiCall Teleservices,3.9,230,29 years old,,Johannesburg +13 more,501-1k Employees
3202,Emami Paper Mills,4.4,230,Public,Kolkata +7 more,42 years old,1k-5k Employees
3203,Madras Radiators and Pressings Limited,4.0,230,Public,Coimbatore +9 more,61 years old,501-1k Employees
3204,Laser Power & Infra,3.3,230,36 years old,,Kolkata +32 more,1k-5k Employees
3205,Sj Contracts,4.3,230,34 years old,,Pune +6 more,1k-5k Employees
3206,Indus Net Technologies,3.7,230,27 years old,,Kolkata +5 more,501-1k Employees
3207,Pfizer Healthcare india pvt lit,4.0,230,15 years old,,Mumbai +16 more,1k-5k Employees
3208,Wagh Bakri Tea Group,4.3,229,109 years old,,Ahmedabad +29 more,1k-5k Employees
3209,Smaaash Entertainment,3.6,229,15 years old,,Mumbai +24 more,501-1k Employees
3210,Thyssenkrupp Industrial Solutions,4.0,229,165 years old,,Essen +16 more,1k-5k Employees
3211,Yashi Consulting Services,4.1,229,19 years old,,Jaipur +24 more,51-200 Employees
3212,BridgeLabz Solutions,3.5,229,Startup,Mumbai +10 more,8 years old,201-500 Employees
3213,Bhandari Automobiles,3.8,229,46 years old,,Midnapore +23 more,501-1k Employees
3214,Etisalat,3.3,229,Public,Abu Dhabi +11 more,48 years old,1k-5k Employees
3215,CK Birla Group,4.2,229,Conglomerate,Delhi/NCR +42 more,162 years old,1k-5k Employees
3216,Delhi Duty Free Services,4.0,229,14 years old,,Delhi/NCR +5 more,1k-5k Employees
3217,Asti Electronics India,4.0,229,20 years old,,Gurgaon/Gurugram +7 more,201-500 Employees
3218,Baxter Pharmaceutical Solutions LLC.,4.4,229,93 years old,,Deerfield +6 more,1k-5k Employees
3219,Orion Innovation,3.6,229,31 years old,,New Jersey +10 more,1k-5k Employees
3220,Bhandari Automobiles,3.8,229,46 years old,,Midnapore +23 more,501-1k Employees
3221,BridgeLabz Solutions,3.5,229,Startup,Mumbai +10 more,8 years old,201-500 Employees
3222,Rainbow Childrens Hospital,4.1,229,25 years old,,Hyderabad/Secunderabad +10 more,5k-10k Employees
3223,Cochin Shipyard,4.1,228,Fortune India 500,Ernakulam +11 more,52 years old,1k-5k Employees
3224,Iconic,4.1,228,11 years old,,Gurugram +25 more,501-1k Employees
3225,Studds Accessories,3.2,228,41 years old,,Faridabad +4 more,1k-5k Employees
3226,Knack Global,3.1,228,17 years old,,Woodbridge +7 more,501-1k Employees
3227,Spm Autocomp,3.4,228,29 years old,,Gurgaon/Gurugram +11 more,51-200 Employees
3228,Accurex Biomedical,4.5,228,40 years old,,Mumbai +46 more,201-500 Employees
3229,Sekisui Dljm Molding,3.8,228,13 years old,,Gurgaon/Gurugram +15 more,51-200 Employees
3230,Cloud4C,3.5,228,10 years old,,Singapore +6 more,1k-5k Employees
3231,Mahagun India,3.3,228,Conglomerate,Noida +6 more,29 years old,501-1k Employees
3232,Coding Ninjas,4.2,228,Startup,New Delhi +7 more,8 years old,51-200 Employees
3233,Addverb Technologies,3.3,228,Startup,Noida +13 more,8 years old,501-1k Employees
3234,M Square Media,4.6,228,,,,Ahmedabad +26 more
3235,GSPANN Technologies,4.0,228,20 years old,,Milpitas +8 more,1k-5k Employees
3236,Algonomy,4.0,227,20 years old,,Bangalore +9 more,201-500 Employees
3237,Anunta Technology Management Services,3.7,227,Startup,Mumbai +13 more,12 years old,501-1k Employees
3238,ISMT,3.8,227,Public,Pune +4 more,47 years old,1k-5k Employees
3239,Bharat IT Services,2.9,227,Public,Noida +39 more,28 years old,501-1k Employees
3240,Algonomy,4.0,227,20 years old,,Bangalore +9 more,201-500 Employees
3241,ISMT,3.8,227,Public,Pune +4 more,47 years old,1k-5k Employees
3242,Theme Engineering Services,3.6,227,22 years old,,Jaipur +72 more,501-1k Employees
3243,TDS Lithium-Ion Battery,4.2,227,5 years old,,Ahmedabad +9 more,501-1k Employees
3244,Dhruv Research,3.3,227,4 years old,,Gurgaon/Gurugram +14 more,51-200 Employees
3245,Teachnook,3.3,227,Startup,Bengaluru/Bangalore +4 more,3 years old,501-1k Employees
3246,Zimetrics Technologies,4.6,227,9 years old,,Pune +5 more,201-500 Employees
3247,Bhilai Engineering Corporation,3.8,226,Public,Bhilai/Bhillai +20 more,64 years old,501-1k Employees
3248,Intelliswift Software,3.5,226,23 years old,,Newark +6 more,1k-5k Employees
3249,Pitambari Products,4.1,226,38 years old,,Thane +41 more,1k-5k Employees
3250,Icertis,3.6,226,Indian Unicorn,Bellevue +3 more,15 years old,1k-5k Employees
3251,Aris Global Software,3.3,226,37 years old,,Miami +4 more,1k-5k Employees
3252,Can-Pack,4.3,226,32 years old,,Aurangabad +9 more,501-1k Employees
3253,InfoBeans,3.7,226,Public,Indore +4 more,24 years old,1k-5k Employees
3254,ESAB,4.1,226,Public,Chennai +21 more,37 years old,501-1k Employees
3255,Royal Research,2.2,226,11 years old,,Kolkata +5 more,501-1k Employees
3256,Moon Beverages,3.7,226,Public,New Delhi +13 more,37 years old,51-200 Employees
3257,Planetcast,3.8,226,Public,Noida +11 more,28 years old,1k-5k Employees
3258,Nimbus Harbor Facilities Management,4.0,226,20 years old,,Gurgaon/Gurugram +14 more,10k-50k Employees
3259,Indiabulls Real Estate,4.4,226,Public,Mumbai +21 more,18 years old,501-1k Employees
3260,Sir H. N. Reliance Foundation Hospital and Research,4.0,226,Public,Mumbai +5 more,99 years old,51-200 Employees
3261,RV Solutions,3.8,226,16 years old,,Noida +31 more,201-500 Employees
3262,Planetcast,3.8,226,Public,Noida +11 more,28 years old,1k-5k Employees
3263,Seth M R Jaipuria School,3.8,226,32 years old,,Delhi/NCR +36 more,1k-5k Employees
3264,Springer Nature,3.9,226,18 years old,,Berlin +2 more,1k-5k Employees
3265,Rosenberger Electronic,4.1,225,66 years old,,Tittmoning +30 more,501-1k Employees
3266,Sonalika Group of Companies,3.8,225,55 years old,,Hoshiarpur +37 more,5k-10k Employees
3267,The Louis Berger Group,4.4,225,139 years old,,Montreal +30 more,51-200 Employees
3268,Powerica,3.6,225,40 years old,,Mumbai +27 more,501-1k Employees
3269,Toshiba Transmission & Distribution Systems,3.9,225,130 years old,,Hyderabad +20 more,501-1k Employees
3270,Don Bosco School,4.0,225,44 years old,,New Delhi +53 more,201-500 Employees (Global)
3271,Knowledgeworks Global,3.0,225,Glen Allen +6 more,,,501-1k Employees
3272,Bharat Dynamics,4.3,225,Fortune India 500,Hyderabad/Secunderabad +4 more,54 years old,1k-5k Employees
3273,Oriflame,3.7,225,57 years old,,Stockholm +23 more,1k-5k Employees
3274,Kubota Agricultural Machinery India,4.1,225,16 years old,,Chennai +35 more,201-500 Employees
3275,TravelTriangle,3.8,225,14 years old,,Noida +8 more,51-200 Employees
3276,Ambit Finvest,4.1,225,Mumbai +53 more,,,1k-5k Employees
3277,INDIAN PUBLIC SCHOOL,3.8,225,20 years old,,Salem +42 more,1k-5k Employees
3278,Motherson Sumi Wiring,3.9,225,Noida +21 more,,,Fortune India 500
3279,Gopal Snacks Limited,4.3,225,Public,Rajkot +42 more,25 years old,1k-5k Employees
3280,Mahindra Last Mile Mobility,3.7,225,30 years old,,Bangalore Rural +11 more,501-1k Employees
3281,Peter England,4.0,224,135 years old,,Londonderry +96 more,501-1k Employees
3282,Seven Hills Hospital,4.0,224,38 years old,,Mumbai +10 more,501-1k Employees
3283,Annalect,4.1,224,14 years old,,New York +10 more,1k-5k Employees
3284,VVF,3.7,224,Public,Mumbai +18 more,85 years old,501-1k Employees
3285,Shree Renuka Sugars,4.2,224,Public,Belagavi/Belgaum +30 more,26 years old,1k-5k Employees
3286,Silver Touch Technologies,3.6,224,Public,Ahmedabad +23 more,32 years old,1k-5k Employees
3287,Bharat Oman Refineries,3.8,224,Public,Bina +17 more,13 years old,501-1k Employees
3288,Speridian Technologies,3.7,224,22 years old,,Albuquerque +12 more,1k-5k Employees
3289,New Holland Fiat (India),4.4,224,26 years old,,Delhi/NCR +37 more,501-1k Employees
3290,Walchandnagar Industries,3.9,224,Public,Mumbai +10 more,116 years old,1k-5k Employees
3291,Theobroma Foods,3.7,224,20 years old,,Mumbai +18 more,51-200 Employees
3292,Finolex Ind,3.9,224,Fortune India 500,,Pune +38 more,1k-5k Employees
3293,Prism Johnson Limited - RMC (India) Division,4.0,224,Public,Mumbai +53 more,28 years old,501-1k Employees
3294,Samsung Display,3.7,224,5 years old,,Yongin-si +5 more,501-1k Employees
3295,Koenig Solutions,4.0,224,31 years old,,Delhi/NCR +15 more,501-1k Employees
3296,Knowledge Splice Services pvt ltd.,3.5,224,13 years old,,Houston +13 more,201-500 Employees
3297,Zudio,3.9,224,Mumbai +61 more,,,1k-5k Employees
3298,Hamleys,3.9,223,264 years old,,London +40 more,1k-5k Employees
3299,IVTL Infoview Technologies,3.5,223,24 years old,,Chennai +3 more,51-200 Employees
3300,IVTL Infoview Technologies,3.5,223,24 years old,,Chennai +3 more,51-200 Employees
3301,Trivium Education Services,3.8,223,14 years old,,Delhi/NCR +9 more,51-200 Employees
3302,Hamleys,3.9,223,264 years old,,London +40 more,1k-5k Employees
3303,Four Points By Sheraton,4.4,223,29 years old,,Bethesda +28 more,501-1k Employees
3304,Signature Global,4.0,223,16 years old,,New Jersey +8 more,51-200 Employees
3305,Mfar Constructions,3.8,223,28 years old,,Bangalore/Bengaluru +10 more,501-1k Employees
3306,Gujarat Alkalies & Chemicals,4.4,223,Public,Bharuch +6 more,51 years old,1k-5k Employees
3307,Kirloskar Electric Company,3.6,223,Public,Bangalore/Bengaluru +22 more,78 years old,1k-5k Employees
3308,The Phoenix Mills,3.7,223,Public,Mumbai +15 more,119 years old,501-1k Employees
3309,Allianz,4.4,222,Forbes Global 2000,Munich +12 more,134 years old,5k-10k Employees
3310,Wallace Pharmaceuticals,3.8,222,56 years old,,Panaji/Panjim +37 more,1k-5k Employees
3311,Zscaler Softech,3.7,222,16 years old,,San Jose +11 more,1k-5k Employees
3312,Nobel Hygiene,3.6,222,24 years old,,Mumbai +49 more,51-200 Employees
3313,Mukand Limited,3.7,222,Public,Mumbai +16 more,87 years old,1k-5k Employees
3314,Luxor Writing Instruments,3.7,222,23 years old,,Noida +31 more,1k-5k Employees
3315,Enser Communications,4.0,222,16 years old,,Navi Mumbai +11 more,501-1k Employees
3316,Jaypee Hospital,4.0,222,10 years old,,Noida +9 more,501-1k Employees
3317,Kalkine,4.0,222,10 years old,,Sydney +2 more,201-500 Employees
3318,Sgs Tekniks Manufacturing,4.1,222,34 years old,,Gurgaon +10 more,201-500 Employees
3319,Sembcorp Energy India,4.0,222,Public,Gurgaon/Gurugram +14 more,16 years old,501-1k Employees
3320,Starbucks,4.4,222,Public,Seattle +37 more,53 years old,1k-5k Employees
3321,Multiplier Brand Solutions,3.6,222,8 years old,,Hyderabad/Secunderabad +51 more,51-200 Employees
3322,Zydus Hospital,4.3,221,Public,Ahmedabad +9 more,9 years old,1k-5k Employees
3323,Cavisson Systems,2.2,221,13 years old,,Santa Clara +2 more,501-1k Employees
3324,CEVA Logistics,3.8,221,18 years old,,Marseille +32 more,5k-10k Employees
3325,Mahindra Trucks & Buses,3.7,221,,,,Pune +51 more
3326,Elcamino Software,3.1,221,14 years old,,Gurugram +4 more,201-500 Employees
3327,Vem Technologies,3.8,221,31 years old,,Hyderabad/Secunderabad +3 more,1k-5k Employees
3328,Refinitiv,4.1,221,326 years old,,London +3 more,51-200 Employees
3329,kipi.bi,4.6,221,Houston +12 more,,,201-500 Employees
3330,Dr.SNS Rajalakshmi College Of Arts and Science,5.0,221,Coimbatore,,,201-500 Employees
3331,Galax E Solutions,3.4,220,21 years old,,Somerset +8 more,1k-5k Employees
3332,Munjal Kiriu Industries,3.6,220,68 years old,,Gurgaon/Gurugram +6 more,201-500 Employees
3333,Global Edge Software,3.4,220,19 years old,,Bangalore +8 more,51-200 Employees
3334,Oceaneering International,4.1,220,60 years old,,Houston +6 more,501-1k Employees
3335,AXIS MY INDIA,4.1,220,26 years old,,Mumbai +15 more,51-200 Employees
3336,Dinshaws,3.7,220,92 years old,,Nagpur +42 more,501-1k Employees
3337,TCI Supply Chain Solutions,4.2,220,66 years old,,Gurgaon/Gurugram +39 more,5k-10k Employees
3338,MSPL,4.1,220,63 years old,,Hosapete +27 more,1k-5k Employees
3339,Light & Wonder,3.8,220,51 years old,,Las Vegas +9 more,1k-5k Employees
3340,Rolta India,2.8,220,Public,Mumbai +11 more,35 years old,501-1k Employees
3341,Bihar Rural Livelihoods Promotion Society,3.8,220,17 years old,,Patna +48 more,1k-5k Employees
3342,Arabian Construction Company,3.9,220,57 years old,,Beirut +24 more,10k-50k Employees
3343,Anand Rathi Global Finance,3.5,220,42 years old,,Mumbai +38 more,201-500 Employees
3344,Burns & McDonnell,4.5,220,126 years old,,Kansas City +2 more,1k-5k Employees
3345,Sigma Engineered Solutions,4.3,220,,,,
3346,Themis Medicare,3.5,219,Public,Mumbai +34 more,55 years old,201-500 Employees
3347,NAFFCO,3.9,219,33 years old,,Dubai +19 more,201-500 Employees
3348,Vaibhav Global,3.2,219,Public,Jaipur +8 more,44 years old,1k-5k Employees
3349,Holisol Logistics,3.7,219,15 years old,,Delhi +41 more,1k-5k Employees
3350,Nippon Koei India,4.7,219,16 years old,,Delhi/NCR +40 more,501-1k Employees
3351,T R Chadha & Co Llp,3.7,219,78 years old,,Delhi/NCR +13 more,51-200 Employees
3352,Koyo Bearings India,4.0,219,17 years old,,Gurgaon +5 more,1k-5k Employees
3353,BDR Pharmaceuticals International,3.7,219,22 years old,,Mumbai +18 more,1k-5k Employees
3354,Lalitha Jewellery,4.0,219,41 years old,,Chennai +29 more,1k-5k Employees
3355,SVC Co-Operative Bank,3.9,219,118 years old,,Mumbai +34 more,1k-5k Employees
3356,Belstar Investment and Finance,4.3,219,36 years old,,Chennai +94 more,201-500 Employees
3357,GE Aviation,4.2,219,107 years old,,Cincinnati +8 more,1k-5k Employees
3358,Amara Raja Power Systems,4.1,219,39 years old,,Tirupati +33 more,10k-50k Employees
3359,Tekion,3.0,219,Startup,Pleasanton +3 more,8 years old,1k-5k Employees
